campaign_id,cost_before,clicks_before,cost_after,clicks_after
id_0804,53.16,27,150.19,68
id_0805,353.33,29,615.19,57
id_0806,26.88,8,28.64,13
id_0807,296.85,57,337.98,58
id_0808,2571.54,234,1081.05,127
id_0809,46.17,16,55.78,19
id_0810,239.15,42,839.14,131
id_0811,82.68,8,128.78,16
id_0812,4.35,3,51.79,16
id_0813,293.54,29,334.1,49
id_0814,22.4,11,53.1,23
id_0815,125.47,21,200.28,31
id_0816,4.49,3,12.14,9
id_0817,280.35,57,476.76,102
id_0818,4.19,1,32.11,10
id_0819,87.75,29,322.25,81
id_0820,199.13,33,787.39,121
id_0821,102.62,14,136.84,16
id_0822,109.77,16,211.17,20
id_0823,247.67,28,410.37,62
id_0824,228.52,21,738.84,64
id_0825,941.23,32,1208.31,51
id_0826,17.84,3,27.9,7
id_0827,94.89,31,224.99,78
id_0828,11.87,3,31.8,8
id_0829,8.12,3,32.04,13
id_0830,154.68,15,529.41,46
id_0831,119.21,19,137.23,24
id_0832,60.92,11,85.29,11
id_0833,11.26,5,15.26,7
id_0834,1651.83,199,3762.17,502
id_0835,1361.39,377,2898.72,800
id_0836,1053.2,186,2204.6,411
id_0837,1105.44,384,2382.84,798
id_0838,165.0,25,356.08,54
id_0839,716.72,136,1155.61,211
id_0840,357.69,141,610.62,246
id_0841,1.38,2,2.15,2
id_0842,24.81,12,61.79,30
id_0843,31.45,12,39.17,16
id_0844,53.91,18,221.01,74
id_0845,102.36,36,250.8,83
id_0846,126.89,39,577.55,155
id_0847,178.13,131,255.84,210
id_0848,45.5,27,85.18,50
id_0849,43.36,24,102.57,51
id_0850,5.77,6,19.95,23
id_0851,72.05,27,103.66,40
id_0852,171.4,59,339.21,127
id_0853,54.78,11,48.04,9
id_0854,262.41,75,645.45,175
id_0855,36.99,40,65.85,76
id_0856,10.74,3,34.33,13
id_0857,0.94,2,8.67,2
id_0858,7.02,3,0.9,1
id_0859,35.79,17,97.93,34
id_0860,18.34,3,47.79,8
id_0861,20.49,6,81.83,21
id_0862,45.6,21,36.89,17
id_0863,49.53,11,189.53,37
id_0864,14.51,6,61.07,26
id_0865,830.69,188,1272.51,297
id_0866,1213.94,514,1832.11,783
id_0867,80.66,19,144.93,36
id_0868,11.67,7,33.45,18
id_0869,10.86,3,23.81,7
id_0870,5.67,2,8.1,3
id_0871,360.76,180,2110.4,786
id_0872,355.52,200,2259.36,888
id_0873,3.14,1,9.41,4
id_0874,65.22,41,126.36,84
id_0875,85.44,44,208.3,103
id_0876,64.85,35,136.26,80
id_0877,658.83,630,847.81,820
id_0878,327.09,145,724.72,321
id_0879,474.4,216,508.72,283
id_0880,73.33,26,202.98,65
id_0881,15.28,11,41.97,33
id_0882,9.91,4,6.19,5
id_0883,114.85,39,204.19,69
id_0884,412.1,208,1103.63,583
id_0885,25.13,16,69.64,55
id_0886,33.57,10,46.36,24
id_0887,48.49,43,51.58,48
id_0888,16.4,6,34.79,16
id_0889,23.27,15,39.25,27
id_0890,52.3,41,93.49,67
id_0891,372.11,480,405.92,525
id_0892,209.71,111,372.67,190
id_0893,415.69,206,354.54,226
id_0894,65.78,25,104.08,46
id_0895,13.67,14,22.29,25
id_0896,7.18,5,3.08,3
id_0897,415.47,266,786.96,516
id_0898,18.24,16,59.6,48
id_0899,503.71,151,603.73,192
id_0900,146.31,12,169.67,26
id_0901,41.45,17,135.17,55
id_0902,268.21,65,401.02,105
id_0903,162.81,53,162.86,63
id_0904,14.61,6,28.83,15
id_0905,127.72,48,179.7,71
id_0906,60.52,12,236.69,60
id_0907,40.4,10,202.02,43
id_0908,7.41,2,30.3,9
id_0909,9.14,3,8.43,4
id_0910,19.71,8,41.12,13
id_0911,339.34,116,462.23,164
id_0912,45.82,22,90.09,44
id_0913,245.38,35,344.47,45
id_0914,89.86,33,707.2,224
id_0915,50.71,27,88.86,40
id_0916,121.54,30,249.88,56
id_0917,3.89,2,16.56,8
id_0918,47.46,15,90.17,26
id_0919,45.81,23,130.09,55
id_0920,76.09,34,76.33,30
id_0921,38.77,22,44.95,25
id_0922,119.52,30,162.93,42
id_0923,98.23,18,51.64,14
id_0924,67.92,19,199.23,52
id_0925,10.99,6,20.11,9
id_0926,25.76,11,34.36,15
id_0927,163.87,68,249.14,98
id_0928,9.74,6,18.27,10
id_0929,332.01,58,479.24,89
id_0930,97.19,39,397.34,140
id_0931,237.94,127,396.64,219
id_0932,183.75,142,365.02,289
id_0933,309.62,122,507.25,212
id_0934,323.57,160,673.93,285
id_0935,560.11,250,723.82,379
id_0936,10.47,5,10.89,6
id_0937,26.02,9,89.98,35
id_0938,60.54,54,88.78,74
id_0939,3.64,2,6.63,5
id_0940,3.97,2,8.02,6
id_0941,245.93,50,432.12,92
id_0942,155.56,45,333.27,90
id_0943,91.72,16,151.36,26
id_0944,106.84,30,138.09,29
id_0945,394.93,39,539.65,61
id_0946,615.53,79,748.62,101
id_0947,2862.35,1213,2846.97,1394
id_0948,3721.52,1963,3500.2,2062
id_0949,182.36,67,577.36,247
id_0950,2994.4,730,3304.75,819
id_0951,3049.84,811,3107.96,892
id_0952,293.84,125,517.67,225
id_0953,976.1,264,2369.78,543
id_0954,582.58,161,895.29,259
id_0955,1019.83,135,1469.27,199
id_0956,840.21,136,811.26,132
id_0957,473.87,369,1223.03,856
id_0958,2.92,2,1.88,1
id_0959,24.61,14,30.35,20
id_0960,6.0,2,6.94,2
id_0961,129.34,52,325.63,141
id_0962,86.14,41,209.93,97
id_0963,59.97,12,86.2,25
id_0964,12.6,5,24.03,9
id_0965,446.31,429,1020.21,907
id_0966,263.62,134,378.93,200
id_0967,50.22,35,22.14,16
id_0968,242.31,109,330.33,156
id_0969,790.66,155,1300.88,262
id_0970,382.36,85,469.86,106
id_0971,49.39,26,148.11,75
id_0972,27.66,34,40.54,54
id_0973,403.33,190,1548.15,700
id_0974,39.05,24,93.76,59
id_0975,331.98,152,470.27,220
id_0976,191.17,59,409.6,136
id_0977,26.8,15,59.31,30
id_0978,47.44,37,106.07,73
id_0979,159.76,29,459.44,93
id_0980,100.16,71,365.69,255
id_0981,304.0,153,684.92,336
id_0982,177.39,42,317.05,88
id_0983,217.26,50,363.4,99
id_0984,182.76,80,260.19,129
id_0985,220.64,51,888.98,222
id_0986,179.65,54,357.23,100
id_0987,35.53,23,56.61,47
id_0988,17.91,7,84.94,28
id_0989,30.35,10,86.91,28
id_0990,427.37,69,779.06,135
id_0991,273.94,61,305.8,67
id_0992,1649.46,794,1779.72,1006
id_0993,201.24,99,282.18,151
id_0994,44.04,35,74.89,51
id_0995,8.42,5,23.12,11
id_0996,7.73,3,18.97,9
id_0997,36.63,5,22.23,4
id_0998,10.66,3,23.02,3
id_0999,28.5,13,32.62,25
id_1000,15.47,21,11.31,16
id_1001,63.24,52,205.23,134
id_1002,3.8,2,4.32,4
id_1003,334.18,176,423.3,233
id_1004,41.65,16,55.96,22
id_1005,17.76,10,18.17,10
id_1006,133.9,90,155.85,113
id_1007,302.0,115,459.52,156
id_1008,63.71,41,145.01,90
id_1009,58.72,13,153.25,42
id_1010,194.0,110,227.63,140
id_1011,46.72,14,76.82,26
id_1012,70.72,30,106.67,40
id_1013,736.24,472,793.85,550
id_1014,1991.51,466,2457.94,643
id_1015,1105.83,388,1330.41,481
id_1016,17.99,11,10.84,6
id_1017,41.03,22,51.84,29
id_1018,114.77,45,129.46,48
id_1019,119.34,58,159.01,76
id_1020,144.67,24,279.56,62
id_1021,157.88,51,275.66,85
id_1022,853.1,264,1132.35,360
id_1023,328.56,50,355.07,60
id_1024,286.42,24,431.0,37
id_1025,172.77,70,414.35,161
id_1026,38.62,11,118.34,28
id_1027,211.03,61,256.17,81
id_1028,137.1,57,143.29,60
id_1029,621.68,108,745.11,135
id_1030,27.57,5,39.38,8
id_1031,156.75,77,159.69,77
id_1032,48.54,12,88.75,23
id_1033,150.97,36,402.4,84
id_1034,173.91,47,361.58,84
id_1035,28.78,7,64.79,16
id_1036,38.62,22,140.31,75
id_1037,351.05,132,443.76,187
id_1038,345.76,131,879.07,294
id_1039,97.55,33,278.23,96
id_1040,2.42,1,4.12,2
id_1041,402.51,104,582.58,155
id_1042,335.71,107,749.26,224
id_1043,102.1,32,117.14,38
id_1044,48.64,17,77.98,22
id_1045,120.36,91,254.88,186
id_1046,856.22,457,698.1,403
id_1047,269.55,133,693.9,303
id_1048,325.4,129,638.94,279
id_1049,42.52,17,51.41,19
id_1050,31.5,7,122.65,24
id_1051,332.72,58,609.36,103
id_1052,174.99,17,403.59,40
id_1053,77.67,11,192.57,28
id_1054,8.65,3,37.44,15
id_1055,358.46,86,532.09,135
id_1056,92.67,21,190.49,44
id_1057,812.45,158,1263.95,259
id_1058,25.2,7,316.06,50
id_1059,218.77,51,332.77,83
id_1060,500.1,85,907.75,176
id_1061,88.64,17,183.07,33
id_1062,199.66,33,231.98,49
id_1063,45.89,23,31.19,17
id_1064,647.43,214,576.03,206
id_1065,124.9,27,282.76,70
id_1066,2065.67,457,3011.64,737
id_1067,383.51,106,2688.16,425
id_1068,171.59,402,130.1,375
id_1069,131.96,259,273.76,554
id_1070,930.78,1853,665.23,1648
id_1071,301.09,543,278.87,604
id_1072,151.19,182,305.85,391
id_1073,717.23,967,488.43,887
id_1074,722.1,250,1379.21,505
id_1075,587.3,195,2783.08,831
id_1076,756.35,205,1606.14,437
id_1077,287.56,145,343.36,177
id_1078,781.59,258,1698.18,538
id_1079,478.33,208,648.53,287
id_1080,823.16,318,2169.36,835
id_1081,453.79,155,626.7,221
id_1082,198.67,128,186.54,121
id_1083,601.82,260,785.67,325
id_1084,581.36,100,1081.95,190
id_1085,974.41,145,1937.02,297
id_1086,400.82,60,1034.06,166
id_1087,79.81,26,154.36,37
id_1088,751.09,123,1119.14,198
id_1089,411.23,91,663.26,155
id_1090,1260.33,200,1837.76,311
id_1091,273.45,62,486.96,109
id_1092,48.45,16,95.91,30
id_1093,293.14,66,466.75,110
id_1094,127.99,32,269.45,82
id_1095,1449.49,281,3889.4,778
id_1096,219.82,63,44.51,23
id_1097,172.58,65,34.1,21
id_1098,142.64,45,302.31,92
id_1099,176.74,85,130.27,71
id_1100,76.59,52,83.08,62
id_1101,225.71,80,668.38,236
id_1102,245.36,178,581.2,326
id_1103,818.53,189,1791.25,442
id_1104,8.69,5,9.16,5
id_1105,5.17,6,9.87,11
id_1106,38.08,17,108.03,44
id_1107,28.7,15,34.53,18
id_1108,3.96,1,10.19,5
id_1109,32.78,4,89.23,13
id_1110,63.14,12,25.82,5
id_1111,71.48,24,259.51,89
id_1112,197.61,84,306.92,149
id_1113,375.61,56,1258.02,213
id_1114,584.57,125,844.73,200
id_1115,125.39,31,177.36,53
id_1116,38.58,13,63.06,28
id_1117,835.3,135,1211.36,233
id_1118,204.95,51,349.55,104
id_1119,0.8,1,26.26,4
id_1120,187.42,14,378.22,30
id_1121,55.57,5,44.54,6
id_1122,2.2,2,2.95,2
id_1123,12.39,8,12.28,13
id_1124,2.03,1,9.57,5
id_1125,8.19,6,6.02,4
id_1126,1253.09,158,2519.62,338
id_1127,30.98,9,91.4,31
id_1128,84.62,15,407.05,62
id_1129,218.25,106,649.28,304
id_1130,538.19,177,1661.52,521
id_1131,80.7,20,241.23,71
id_1132,187.65,33,189.21,35
id_1133,201.84,68,468.09,148
id_1134,329.56,156,702.68,327
id_1135,812.02,192,2423.8,468
id_1136,226.37,99,589.26,276
id_1137,136.29,22,202.66,35
id_1138,194.51,49,295.71,80
id_1139,512.34,162,1103.16,296
id_1140,95.01,16,191.04,43
id_1141,928.22,196,1208.33,237
id_1142,1068.2,281,1481.54,402
id_1143,404.81,93,567.14,132
id_1144,72.09,22,178.92,48
id_1145,474.38,78,831.42,139
id_1146,476.38,68,1077.91,147
id_1147,317.47,79,852.13,213
id_1148,131.81,55,162.72,64
id_1149,358.07,193,429.54,253
id_1150,322.05,145,498.23,224
id_1151,1124.03,315,1348.68,392
id_1152,43.03,23,56.59,29
id_1153,1.4,1,10.78,5
id_1154,958.35,596,1282.59,865
id_1155,991.18,634,1000.17,711
id_1156,84.14,10,377.69,36
id_1157,474.35,56,669.93,69
id_1158,159.79,23,399.76,56
id_1159,185.5,68,225.9,88
id_1160,207.32,120,233.92,136
id_1161,143.45,28,161.12,40
id_1162,127.05,35,261.26,70
id_1163,182.31,50,328.69,88
id_1164,145.33,29,230.51,39
id_1165,73.61,16,111.82,23
id_1166,83.5,28,108.06,37
id_1167,267.8,83,360.6,117
id_1168,194.32,30,449.2,66
id_1169,169.32,52,230.12,67
id_1170,307.91,134,286.97,132
id_1171,165.52,56,255.79,87
id_1172,19.47,8,64.98,26
id_1173,116.72,29,103.38,27
id_1174,221.81,66,454.55,132
id_1175,129.38,46,241.66,88
id_1176,78.36,23,96.66,29
id_1177,365.7,71,694.84,139
id_1178,52.83,28,50.46,27
id_1179,97.65,36,169.36,57
id_1180,24.23,4,10.72,4
id_1181,57.65,8,35.92,5
id_1182,68.41,14,154.3,23
id_1183,220.69,97,191.33,86
id_1184,17.44,4,79.21,15
id_1185,19.23,3,20.57,6
id_1186,62.02,19,81.52,32
id_1187,65.29,30,185.66,71
id_1188,451.88,86,502.06,100
id_1189,56.57,14,75.18,20
id_1190,2.73,1,11.01,4
id_1191,556.42,281,458.52,248
id_1192,57.68,10,79.78,13
id_1193,264.4,58,436.02,89
id_1194,246.0,36,341.23,52
id_1195,9.46,2,12.55,5
id_1196,155.95,38,202.01,51
id_1197,251.7,51,148.69,32
id_1198,1298.92,296,2570.88,641
id_1199,668.26,210,1239.59,472
id_1200,195.85,138,205.03,150
id_1201,213.63,190,193.53,188
id_1202,1197.77,594,1086.99,550
id_1203,1261.96,782,1010.02,711
id_1204,728.93,371,1141.27,599
id_1205,272.17,201,384.04,278
id_1206,286.2,189,1237.33,668
id_1207,291.76,246,647.71,456
id_1208,16.22,11,30.12,24
id_1209,505.44,171,485.92,187
id_1210,682.41,270,891.7,357
id_1211,239.8,123,356.81,178
id_1212,92.8,40,156.94,71
id_1213,161.47,121,195.48,145
id_1214,423.77,249,721.62,424
id_1215,663.36,176,846.94,264
id_1216,282.91,340,289.05,343
id_1217,157.36,111,279.03,206
id_1218,45.26,27,92.24,59
id_1219,363.69,188,506.59,279
id_1220,58.92,70,61.86,69
id_1221,636.9,235,1153.98,459
id_1222,1075.98,817,881.72,719
id_1223,1158.09,734,838.12,614
id_1224,69.78,62,133.96,118
id_1225,166.24,152,353.57,325
id_1226,386.12,101,602.4,160
id_1227,481.74,82,796.31,145
id_1228,542.31,119,625.34,144
id_1229,53.47,16,57.5,19
id_1230,15.4,5,41.42,15
id_1231,167.05,52,125.86,45
id_1232,32.36,8,69.23,19
id_1233,10.48,7,31.73,14
id_1234,135.42,13,366.71,36
id_1235,2.55,1,5.25,2
id_1236,128.59,23,253.28,50
id_1237,25.48,9,53.24,18
id_1238,20.45,12,50.01,22
id_1239,3.34,2,1.03,1
id_1240,125.77,63,252.79,145
id_1241,2321.46,629,2956.13,836
id_1242,15.9,8,1.02,1
id_1243,103.37,45,95.95,42
id_1244,16.09,7,3.72,3
id_1245,16.59,9,16.49,9
id_1246,149.27,41,39.6,15
id_1247,4.95,2,1.47,1
id_1248,105.54,60,208.09,132
id_1249,157.47,32,483.54,108
id_1250,46.58,8,74.65,17
id_1251,339.69,105,556.18,195
id_1252,170.3,43,203.31,55
id_1253,53.39,23,107.28,49
id_1254,60.06,15,101.29,32
id_1255,54.68,23,241.68,96
id_1256,3.17,2,2.63,2
id_1257,174.35,89,263.72,138
id_1258,436.21,124,576.42,168
id_1259,683.29,402,775.2,490
id_1260,177.2,86,272.07,131
id_1261,119.87,30,157.94,55
id_1262,88.67,31,119.76,54
id_1263,3874.93,858,4098.91,931
id_1264,36.73,10,123.8,32
id_1265,431.89,109,507.82,131
id_1266,26.81,8,245.93,51
id_1267,18.58,7,42.94,14
id_1268,599.54,106,960.45,176
id_1269,180.65,44,172.27,46
id_1270,4148.9,675,5235.99,939
id_1271,1.41,2,0.28,1
id_1272,467.96,248,683.9,378
id_1273,17.69,6,224.38,103
id_1274,98.09,50,262.85,128
id_1275,45.47,32,41.34,25
id_1276,162.43,61,240.91,99
id_1277,150.6,53,241.87,89
id_1278,2.38,3,0.91,1
id_1279,288.35,104,454.42,170
id_1280,216.31,66,304.71,93
id_1281,129.96,25,254.1,62
id_1282,212.11,87,326.32,118
id_1283,1072.63,283,986.81,278
id_1284,306.29,86,308.97,91
id_1285,214.99,79,507.11,187
id_1286,131.62,47,256.01,95
id_1287,193.81,38,233.58,49
id_1288,263.42,152,299.41,173
id_1289,651.1,169,661.66,175
id_1290,6.19,2,7.35,2
id_1291,97.88,25,343.65,80
id_1292,95.77,19,327.5,54
id_1293,39.33,15,10.84,4
id_1294,292.22,48,832.43,129
id_1295,673.21,57,1947.08,159
id_1296,395.74,77,485.79,121
id_1297,925.86,100,1685.06,211
id_1298,36.14,12,31.37,11
id_1299,90.43,41,35.44,19
id_1300,236.9,87,43.79,19
id_1301,57.08,17,54.56,15
id_1302,41.31,19,29.0,15
id_1303,476.71,199,510.69,191
id_1304,321.3,171,258.1,144
id_1305,381.2,38,850.67,90
id_1306,685.29,104,1123.05,185
id_1307,76.39,14,224.19,44
id_1308,212.88,50,610.99,121
id_1309,576.89,95,1131.09,167
id_1310,6.56,2,3.21,1
id_1311,109.84,13,205.31,26
id_1312,16.9,7,42.16,14
id_1313,446.67,90,648.75,143
id_1314,66.21,16,236.29,50
id_1315,196.77,57,461.91,117
id_1316,2.96,1,48.4,15
id_1317,3.0,3,6.82,4
id_1318,2.78,2,1.47,1
id_1319,1218.52,152,1536.7,221
id_1320,120.48,34,297.08,84
id_1321,17.47,8,13.77,7
id_1322,72.38,35,90.9,44
id_1323,30.8,12,74.65,37
id_1324,29.62,14,31.65,15
id_1325,87.21,40,139.46,61
id_1326,285.45,72,402.97,90
id_1327,0.86,1,1.68,2
id_1328,64.91,18,185.92,59
id_1329,422.44,95,794.37,180
id_1330,117.03,48,202.05,91
id_1331,1.77,1,22.23,11
id_1332,35.47,26,78.62,50
id_1333,13.6,7,46.71,18
id_1334,62.53,29,67.94,36
id_1335,22.15,7,77.18,30
id_1336,40.22,12,62.76,18
id_1337,2.51,1,8.41,2
id_1338,3.64,2,5.21,2
id_1339,14.27,6,42.73,13
id_1340,35.54,11,62.61,19
id_1341,19.21,5,46.56,11
id_1342,66.49,14,94.62,18
id_1343,1.9,1,19.48,6
id_1344,31.55,7,47.69,19
id_1345,8.56,4,27.06,15
id_1346,362.39,64,811.62,117
id_1347,216.87,49,384.11,93
id_1348,6.62,3,9.09,4
id_1349,43.25,8,102.86,20
id_1350,13.17,4,130.66,36
id_1351,474.17,209,554.73,256
id_1352,179.93,76,446.0,170
id_1353,219.8,113,591.68,304
id_1354,1312.13,164,1778.62,252
id_1355,7.11,2,7.15,2
id_1356,11.1,5,33.8,13
id_1357,132.68,15,131.03,21
id_1358,77.13,20,139.14,36
id_1359,1024.79,259,1657.75,440
id_1360,834.04,338,1144.34,473
id_1361,1303.35,180,1929.87,294
id_1362,227.56,122,433.54,228
id_1363,102.09,64,201.3,129
id_1364,1.11,1,1.52,2
id_1365,4.96,6,12.64,12
id_1366,88.67,43,97.87,49
id_1367,121.19,73,98.0,54
id_1368,32.7,18,12.46,9
id_1369,191.31,129,117.61,116
id_1370,3.23,3,1.96,2
id_1371,9.13,7,3.07,3
id_1372,68.5,9,276.38,32
id_1373,61.27,8,214.94,34
id_1374,297.49,92,389.77,137
id_1375,17.66,11,11.04,9
id_1376,178.1,65,96.69,37
id_1377,40.18,18,7.05,5
id_1378,66.25,31,10.78,7
id_1379,126.19,30,3.81,2
id_1380,146.54,49,23.06,12
id_1381,69.28,26,220.02,83
id_1382,90.36,32,455.36,134
id_1383,85.9,24,132.21,34
id_1384,104.41,32,167.37,49
id_1385,17.65,7,3.57,2
id_1386,14.19,8,26.82,13
id_1387,54.39,17,49.39,15
id_1388,44.08,16,15.03,6
id_1389,1140.06,382,1547.63,521
id_1390,45.41,6,87.25,21
id_1391,50.11,10,33.02,9
id_1392,22.15,5,31.92,6
id_1393,87.82,23,156.22,37
id_1394,200.72,87,527.56,209
id_1395,102.47,43,123.37,49
id_1396,16.05,10,96.39,59
id_1397,16.51,12,24.1,19
id_1398,95.28,43,112.26,49
id_1399,87.87,47,272.73,132
id_1400,22.25,13,39.57,23
id_1401,51.23,33,94.01,56
id_1402,217.39,63,289.16,87
id_1403,225.74,85,274.3,99
id_1404,1692.72,653,2686.49,1054
id_1405,2042.24,998,2054.57,1053
id_1406,4128.96,2432,6407.14,3844
id_1407,4649.14,3408,5695.43,4196
id_1408,8.12,2,86.56,13
id_1409,498.55,223,576.06,260
id_1410,15.58,7,19.76,11
id_1411,436.87,152,828.56,274
id_1412,151.52,103,192.23,127
id_1413,80.13,18,319.17,70
id_1414,115.71,20,323.2,58
id_1415,237.75,57,423.05,98
id_1416,104.68,55,117.78,64
id_1417,197.81,151,195.98,158
id_1418,2.13,2,52.6,15
id_1419,14.73,6,32.68,15
id_1420,52.37,14,97.17,30
id_1421,18.58,7,71.96,32
id_1422,347.79,81,452.28,117
id_1423,171.33,110,99.86,71
id_1424,121.33,21,282.03,51
id_1425,532.07,143,916.85,250
id_1426,87.7,27,170.6,59
id_1427,980.55,306,1064.06,335
id_1428,104.91,31,172.16,46
id_1429,185.81,98,100.12,57
id_1430,31.61,7,161.25,36
id_1431,116.46,126,154.84,156
id_1432,2.55,2,7.45,8
id_1433,854.45,220,1522.2,388
id_1434,951.85,736,1205.18,965
id_1435,448.76,93,1454.99,291
id_1436,1110.74,698,1645.65,1021
id_1437,1835.48,984,4714.58,2236
id_1438,87.01,65,415.4,181
id_1439,141.64,10,65.01,22
id_1440,707.02,26,1586.65,56
id_1441,63.4,38,112.54,69
id_1442,59.91,108,93.24,212
id_1443,759.97,440,1111.33,667
id_1444,19.65,29,15.72,21
id_1445,22.94,8,93.73,32
id_1446,409.74,245,1058.21,627
id_1447,13.26,14,36.77,28
id_1448,707.16,542,692.95,534
id_1449,94.16,95,100.94,114
id_1450,412.27,301,633.08,452
id_1451,33.14,75,75.54,173
id_1452,130.27,66,225.24,122
id_1453,59.86,79,145.28,191
id_1454,8.74,7,26.98,26
id_1455,74.34,72,110.72,97
id_1456,16.16,8,67.81,30
id_1457,151.55,52,252.04,95
id_1458,106.56,76,218.5,149
id_1459,37.62,20,44.3,26
id_1460,60.96,63,140.23,137
id_1461,39.85,37,45.5,42
id_1462,152.76,83,117.73,64
id_1463,258.86,190,124.49,110
id_1464,93.19,63,87.21,56
id_1465,482.75,221,1077.58,486
id_1466,122.18,48,246.69,87
id_1467,114.05,100,157.85,134
id_1468,362.94,259,641.8,490
id_1469,3.51,5,9.39,11
id_1470,524.88,363,787.95,545
id_1471,37.83,23,47.63,29
id_1472,45.39,42,106.67,97
id_1473,459.52,216,742.13,315
id_1474,1336.21,1001,3732.9,2376
id_1475,417.98,248,545.05,319
id_1476,28.23,19,18.45,13
id_1477,44.33,37,40.83,38
id_1478,82.29,46,85.33,45
id_1479,60.96,68,99.52,118
id_1480,35.8,48,46.15,59
id_1481,12.8,9,35.75,17
id_1482,1355.45,696,1822.39,874
id_1483,26.59,11,86.76,31
id_1484,29.91,29,20.31,26
id_1485,267.91,207,130.87,88
id_1486,42.39,29,24.52,21
id_1487,307.44,210,487.36,319
id_1488,74.02,73,136.15,131
id_1489,71.59,131,115.67,228
id_1490,66.83,26,92.37,42
id_1491,6.38,7,13.73,14
id_1492,416.81,201,603.52,306
id_1493,26.47,6,107.04,32
id_1494,35.86,11,85.89,23
id_1495,12.49,8,16.92,12
id_1496,419.75,111,365.14,112
id_1497,187.23,78,221.35,93
id_1498,368.54,141,310.98,123
id_1499,22.77,13,40.25,22
id_1500,178.05,54,119.96,42
id_1501,65.53,24,74.59,26
id_1502,91.7,59,98.77,66
id_1503,1067.75,252,1305.1,300
id_1504,14.88,2,41.75,8
id_1505,18.5,6,28.44,11
id_1506,426.8,81,529.97,101
id_1507,54.68,45,28.66,24
id_1508,292.65,73,446.05,102
id_1509,922.85,323,911.08,332
id_1510,379.95,116,660.02,194
id_1511,1033.0,290,1770.98,526
id_1512,22.23,13,32.21,15
id_1513,423.86,93,1044.27,231
id_1514,105.7,39,69.3,30
id_1515,136.83,68,121.42,68
id_1516,355.41,99,365.9,97
id_1517,75.21,95,154.63,210
id_1518,25.66,24,59.21,50
id_1519,88.2,37,165.11,63
id_1520,946.41,357,1394.51,543
id_1521,475.18,167,744.45,277
id_1522,53.32,13,110.26,30
id_1523,345.5,115,687.39,217
id_1524,3319.77,1255,3962.53,1574
id_1525,31.36,15,82.19,37
id_1526,166.97,51,439.83,145
id_1527,255.35,133,229.83,132
id_1528,38.47,16,62.54,27
id_1529,548.39,200,717.63,246
id_1530,808.28,330,401.34,188
id_1531,641.69,192,801.59,255
id_1532,12.31,6,1.45,1
id_1533,207.35,119,152.53,86
id_1534,1219.63,457,3831.41,1328
id_1535,571.21,207,938.55,351
id_1536,586.94,167,572.8,172
id_1537,74.36,46,102.75,59
id_1538,96.36,59,163.27,94
id_1539,26.78,23,26.53,25
id_1540,7.52,7,4.87,4
id_1541,145.68,37,363.73,95
id_1542,89.56,47,252.04,114
id_1543,135.6,83,135.89,82
id_1544,133.7,84,174.37,105
id_1545,81.4,42,151.21,76
id_1546,493.69,120,1276.92,272
id_1547,323.91,196,412.96,251
id_1548,568.41,288,774.33,401
id_1549,11.74,5,15.87,7
id_1550,72.74,55,82.16,61
id_1551,1244.77,372,1823.92,496
id_1552,156.37,65,61.44,30
id_1553,75.95,20,1006.96,156
id_1554,75.67,49,28.22,20
id_1555,104.54,24,231.59,41
id_1556,9.32,8,24.97,16
id_1557,2041.71,733,3774.86,1374
id_1558,284.97,115,375.92,150
id_1559,791.9,188,1438.82,320
id_1560,15.61,9,31.03,19
id_1561,51.41,21,64.57,27
id_1562,166.94,77,137.91,67
id_1563,69.07,59,52.89,51
id_1564,155.04,85,781.41,383
id_1565,66.18,32,77.19,38
id_1566,24.11,15,82.24,45
id_1567,863.29,297,2585.52,781
id_1568,138.07,122,118.59,116
id_1569,1575.13,797,4364.78,2127
id_1570,139.34,238,287.28,557
id_1571,21.88,14,44.46,28
id_1572,94.6,75,206.14,143
id_1573,48.82,22,70.52,32
id_1574,64.32,76,122.81,145
id_1575,4.1,5,2.74,4
id_1576,75.26,55,98.29,87
id_1577,20.7,11,28.75,21
id_1578,197.21,139,251.82,168
id_1579,526.67,545,656.83,713
id_1580,30.6,22,20.15,21
id_1581,286.54,346,306.98,406
id_1582,85.49,165,170.29,332
id_1583,164.76,104,239.54,146
id_1584,65.12,45,139.52,106
id_1585,8.18,12,22.55,24
id_1586,50.78,49,75.06,71
id_1587,691.38,435,1015.82,675
id_1588,2197.7,1045,4912.55,2108
id_1589,230.06,80,466.72,145
id_1590,18.23,12,49.18,31
id_1591,27.87,26,12.1,13
id_1592,263.16,234,234.47,229
id_1593,433.17,328,438.47,344
id_1594,98.43,98,135.14,126
id_1595,217.21,94,334.35,154
id_1596,665.76,304,1229.53,524
id_1597,73.75,35,151.82,59
id_1598,39.77,11,85.62,26
id_1599,240.46,377,459.77,759
id_1600,353.99,197,484.44,284
id_1601,55.44,66,158.15,143
id_1602,49.39,17,116.97,35
id_1603,330.43,1039,708.22,2259
id_1604,302.43,103,418.82,157
id_1605,231.38,330,388.53,632
id_1606,97.81,56,130.5,72
id_1607,73.81,48,50.78,38
id_1608,225.43,68,622.0,138
id_1609,12.92,13,13.73,14
id_1610,117.69,35,288.17,88
id_1611,18.21,15,43.52,38
id_1612,96.06,100,199.98,198
id_1613,30.23,53,50.93,105
id_1614,48.01,108,75.24,174
